y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1068.1051314142678,1276.723404255319,100.49664793972794,2.4010670691392186,0.3340943144766592,4.653787201213935,2460.0,0.358856417486127,0,8
1346.488245931284,1282.1717902350813,185.48067187540943,2.443206620306959,0.3881332826665081,8.217498121062443,2219.0,0.9560740529219621,0,10
1353.501648714003,1299.3411738843702,190.72142322812783,2.4383810924802773,0.3324443178269258,8.091720088597201,2101.0,5.1637392108811255,0,12
1361.3736396614268,1290.688270858525,173.36405474792448,2.4549138837323228,0.38046952907465403,7.798238012844972,2091.0,8.23516399796732,0,13
1346.9604885651515,1282.6368292609613,166.786748349758,2.4231775385971295,0.4892042798771259,7.818128828894907,2215.0,1.0175277543548271,1,10
1354.1698066175434,1301.2686539727429,203.7354393904257,2.4006088241269667,0.3575248217334842,9.103300691179001,2292.0,0.6488901245217839,1,12
1360.2332391240188,1288.295751744272,191.63340435391717,2.4448080575276276,0.32975799815813217,8.460714760036954,2224.0,0.9541691426860508,1,13
1069.6918207266874,1272.473214355796,97.21060359934343,2.317331460667992,0.3213620593258798,5.332815471745983,2414.0,0.40836461876199726,2,8
1346.8928075409874,1284.3019460370674,189.54150676702386,2.4356370956666393,0.38644329519169773,7.946940702994013,2247.0,0.8059544070014019,2,10
1353.4563132229612,1298.6234068806896,197.94156251010088,2.413059497120569,0.3371165156582058,8.888025786243304,2099.0,5.876194128670921,2,12
1361.014413542765,1289.2758820602194,195.98968233743568,2.4490903921432734,0.37968007281669935,8.713750770826769,2174.0,1.4031045391476251,2,13
1068.9531532707945,1272.0467120966969,109.50990898806624,2.4648520931956086,0.1824567298186933,4.554154884340567,2518.0,0.31570579902880314,3,8
1346.82324500005,1283.7893849248621,183.3222500750322,2.4622896349764614,0.4638071766308087,8.022318988569152,2240.0,0.8646052169095425,3,10
1354.029205569374,1299.4675981478542,197.4050982558392,2.4017518007719056,0.3967583068265399,8.933149965437266,2290.0,0.6586437434650529,3,12
1361.249751193183,1289.3707541643594,179.50376636431588,2.4759971851538785,0.37539843310865983,7.671999382081417,2099.0,7.316578981390895,3,13
1347.0648191039647,1284.18406460477,188.41415954703902,2.4105755960956143,0.4275996015079606,8.574403241797874,2242.0,0.8233000593027381,4,10
1353.8752563041312,1299.4689342872557,199.0672059989697,2.361667905036377,0.3641882995984641,9.465250331854797,2196.0,1.1338926824072717,4,12
1361.1621263545112,1288.9747383450497,188.85958309206748,2.4918104857423136,0.390135500962607,8.091861068017042,2178.0,1.3302679506656379,4,13
1070.0855127674758,1275.8127766173643,110.16777456044592,2.4350067026440394,0.2385184816138403,4.393882129485034,2482.0,0.34149783287826313,5,8
1347.51074767181,1283.1682848307723,167.76932422873148,2.4431991212528326,0.38848552640772754,7.953888818337871,2199.0,1.1314849353464425,5,10
1355.1348634014685,1303.5592168144544,181.59241326382673,2.4468926509667313,0.3744254099512594,7.889744553673856,2326.0,0.5551599406070447,5,12
1359.4565906893283,1285.900235591849,180.1491673088864,2.4698646603145296,0.3595413554540598,8.178393744661925,2131.0,2.5475062034179627,5,13
1071.7012762644586,1275.4156953322447,106.33670343493017,2.366330268933666,0.2643446160728911,5.179358375363406,2406.0,0.418392987075102,6,8
1347.6038279383104,1285.681555995836,177.47295272618683,2.4226829966340597,0.3898173990453983,8.152693738997954,2208.0,1.0432423666243202,6,10
1353.633524754934,1300.962954024141,177.02535385424184,2.4385901770597944,0.25182613411172167,7.960865651021531,2037.0,-3.59988880775355,6,12
1359.2490855723797,1286.380308502218,176.60972633029292,2.4238586002735807,0.42556390611929745,7.992836999017602,2179.0,1.3353293030023834,6,13
1069.1837653653074,1275.5159720344302,97.7681351993126,2.520273528037479,0.3669821311100767,4.025367885347192,2392.0,0.4383111948181646,7,8
1347.6322864651665,1284.6245916756586,179.59581357265031,2.4433697193507578,0.46604449744522675,7.921923998363274,2227.0,0.9193911676999462,7,10
1354.5346577028008,1300.6276932960275,192.09055548876802,2.4964350105589928,0.3175910428422707,7.6320975106182765,2286.0,0.6602608065583917,7,12
1360.837004996808,1287.6722568483237,200.17349420254516,2.499131123141875,0.3270858964469961,8.050735770694384,2224.0,0.9381120687792739,7,13
1346.9415282282648,1283.4435573619505,187.33336996581428,2.39580268183479,0.4173813383180372,8.838114586731294,2242.0,0.8161527279841885,8,10
1353.900804692813,1299.2642543167185,191.5964605311788,2.4595497452478514,0.3549905093956186,7.9023142187244515,2265.0,0.7185549433584357,8,12
1362.1616162436972,1290.2167301413408,184.45665031601547,2.3924439491042233,0.3517645116751081,8.49152185783987,2163.0,1.529893274124506,8,13
1069.5941644377103,1275.582641738429,109.1382772643927,2.4776495672076644,0.29736475717510447,5.036648096708563,2430.0,0.38630436983470273,9,8
1347.3594725704033,1282.2854333301852,172.9794271655298,2.427430375213231,0.42319707115296373,8.339904315978465,2230.0,0.8764658507383986,9,10
1354.473136087051,1300.931601307829,199.96147054075425,2.4350241256792184,0.3548865319946817,8.241787794614012,2203.0,1.0576324309752705,9,12
1361.171340507321,1289.7075071819952,194.20530128737303,2.4875236001222936,0.39310944118252544,8.012849244763624,2121.0,2.84125973437356,9,13
1070.0367198988422,1273.3089835089613,99.68675702501496,2.460299894561129,0.27571080313864105,4.379910238357423,2429.0,0.39453020131735433,10,8
1347.32017814857,1285.33779933684,188.40621881318293,2.4066735064319134,0.4121247463807105,8.374388375739393,2243.0,0.8435642564563076,10,10
1353.8594408505332,1299.5807320504864,197.4113142632458,2.410042885358096,0.3355171701499034,8.864938322435425,2100.0,6.750044390140083,10,12
